No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	7	1uF	C1,C10,C12,C35,C36,C42,C44	C0603	1uF	CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC
2	3	100nF	C2,C5,C8	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
3	1	33nF	C6	C0603	33nF	CL10B333KB8NNNC	SAMSUNG(三星)	C21117	LCSC
4	6	10uF	C7,C15,C17,C18,C19,C33	C0603	10uF	CL10A106MA8NRNC	SAMSUNG(三星)	C96446	LCSC
5	6	100nF	C9,C11,C20,C32,C34,C48	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
6	3	47uF	C21,C53,C54	CAP-SMD_BD5.0-L5.3-W5.3-LS6.0-FD	47uF	EFVH025ADA470M0554	FOLLON(富隆电子)	C22387973	LCSC
7	2	33pF	C24,C49	C0402	33pF	0402CG330J500NT	FH(风华)	C1562	LCSC
8	1	4.7nF	C29	C0402	4.7nF	0402B472K500NT	FH(风华)	C1538	LCSC
9	1	100nF	C39	C0805	100nF	CC0805KRX7R9BB104	YAGEO(国巨)	C49678	LCSC
10	2	2.2uF	C45,C46	C0603	2.2uF	CL10A225KO8NNNC	SAMSUNG(三星)	C23630	LCSC
11	1	2.2nF	C47	C0603	2.2nF	0603B222K500NT	FH(风华)	C1604	LCSC
12	1	330nF	C52	C0805	330nF	08053C334K4Z2A	Kyocera AVX	C273671	LCSC
13	1	Stemma QT	CN1	CONN-SMD_4P-P1.00_XY-SM04B-SRSS-TB		Stemma QT	XYECONN(辛译)	C51940130	LCSC
14	1	SM4007PL	D1	SOD-123F_L2.8-W1.8-LS3.7-RD		SM4007PL	MDD(辰达半导体)	C64898	LCSC
15	1	1N4148WS	D2	SOD-323_L1.8-W1.3-LS2.5-RD		1N4148WS	CJ(江苏长电/长晶)	C2128	LCSC
16	1	HP	H1	HDR-TH_3P-P2.54-V-M					
17	1	MIDI_IN	H2	HDR-TH_3P-P2.54-V-M					
18	1	MIDI_OUT	H3	HDR-TH_3P-P2.54-V-M					
19	1	G6K-2F-Y-TR DC5	K1	RELAY-SMD_G6K-2F-X-XX		G6K-2F-Y-TR DC5	OMRON(欧姆龙)	C47190	LCSC
20	1	33uH	L4	IND-SMD_L3.1-W3.1	33uH	SQH3010S-330M-LF	Coilmaster(统宇电研)	C257160	LCSC
21	1	SS8050(RANGE:200-350)	Q1	SOT-23-3_L3.0-W1.3-P1.90-LS2.5-BR		SS8050(RANGE:200-350)	CJ(江苏长电/长晶)	C2150	LCSC
22	1	AO3401A	Q2	SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR-1		AO3401A	AOS	C15127	LCSC
23	1	10kΩ	R1	R0603	10kΩ	0603WAF1002T5E	UNI-ROYAL(厚声)	C25804	LCSC
24	2	100Ω	R2,R4	R0603	100Ω	0603WAF1000T5E	UNI-ROYAL(厚声)	C22775	LCSC
25	3	2MΩ	R3,R5,R6	R0603	2MΩ	0603WAF2004T5E	UNI-ROYAL(厚声)	C22976	LCSC
26	2	2.2kΩ	R7,R40	R0402	2.2kΩ	0402WGF2201TCE	UNI-ROYAL(厚声)	C25879	LCSC
27	2	1kΩ	R11,R31	R0402	1kΩ	0402WGF1001TCE	UNI-ROYAL(厚声)	C11702	LCSC
28	4	100kΩ	R12,R25,R26,R34	R0402	100kΩ	0402WGF1003TCE	UNI-ROYAL(厚声)	C25741	LCSC
29	5	10Ω	R35,R36,R37,R38,R39	R0402	10Ω	0402WGF100JTCE	UNI-ROYAL(厚声)	C25077	LCSC
30	1	200Ω	R43	R0402	200Ω	0402WGF2000TCE	UNI-ROYAL(厚声)	C25087	LCSC
31	1	33Ω	R44	R0603	33Ω	0603WAF330JT5E	UNI-ROYAL(厚声)	C23140	LCSC
32	1	10Ω	R45	R0603	10Ω	0603WAF100JT5E	UNI-ROYAL(厚声)	C22859	LCSC
33	1	4.7kΩ	R46	R0603	4.7kΩ	0603WAF4701T5E	UNI-ROYAL(厚声)	C23162	LCSC
34	1	0Ω	R47	R0603	0Ω	0603WAF0000T5E	UNI-ROYAL(厚声)	C21189	LCSC
35	2	220Ω	R48,R49	R0402	220Ω	0402WGF2200TCE	UNI-ROYAL(厚声)	C25091	LCSC
36	1	DNP	R53	R0402	DNP				
37	8	Test-Point	TP2,TP3,TP6,TP7,TP9,TP10,TP11,TP12	Test-Point-0.5mm					
38	1	Raspberry Pi Pico 2	U1	COMM-SMD_L51.0-W21.0-P2.54_SC0916		Raspberry Pi Pico 2	Raspberry Pi(树莓派)	C41407547	LCSC
39	1	47uH	U2	IND-SMD_L3.0-W3.0-HPC3015TF-2R2M	47uH	SNR3015TYD470M	SOREDE(索瑞达)	C2827372	LCSC
40	1	TLV9061IDBVR	U21	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL		TLV9061IDBVR	TI(德州仪器)	C398358	LCSC
41	1	TLV9062IDR	U39	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL		TLV9062IDR	TI(德州仪器)	C398355	LCSC
42	2	10uF	U40,U41	CAP-SMD_BD4.0-L4.3-W4.3-LS5.0-FD	10uF	RST10UF35V015	KNSCHA(科尼盛)	C4747970	LCSC
43	1	TLV320AIC3204IRHBR	U42	QFN-32_L5.0-W5.0-P0.50-TL-EP3.4		TLV320AIC3204IRHBR	TI(德州仪器)	C24109	LCSC
44	1	L78M05ABDT-TR	U55	TO-252-2_L6.5-W6.1-P4.58-LS10.0-TL		L78M05ABDT-TR	ST(意法半导体)	C58069	LCSC
45	1	INST	U59	CONN-TH_DB125-3.5-4P-GN		INST	DORABO(地博电气)	C2757925	LCSC
46	1	CTRLS	U60	CONN-TH_8P-P3.50_DORABO_DB125-3.5-8P-GN-S		CTRLS	DORABO(地博电气)	C5184954	LCSC
47	1	CD4053ALQ/TR	U61	QFN-16_L3.0-W3.0-P0.50-TL-EP1.7-A		CD4053ALQ/TR	HGSEMI(华冠)	C50703794	LCSC
48	1	POTS	U62	CONN-TH_8P-P3.50_DORABO_DB125-3.5-8P-GN-S		POTS	DORABO(地博电气)	C5184954	LCSC
49	1	H11L1S(TA)	U63	SMD-6_L7.3-W6.5-P2.54-LS10.2-BL		H11L1S(TA)	EVERLIGHT(亿光)	C78589	LCSC
50	1	XC6206P332MR-G	U64	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		XC6206P332MR-G	TOREX(特瑞仕)	C5446	LCSC
